#R	NextCycle	NE(tau)	NEfresh(tau)	NI(tau)	NIfresh(tau)
156	1	93	89	14	14
157	1	11	11	1	1
158	1	383	351	107	102
159	0	8	8	2	2
160	1	102	98	26	26
161	1	59	58	14	14
162	1	23	22	4	4
163	1	30	28	3	3
164	1	18	16	2	2
165	0	1	1	0	0
166	1	472	452	126	123
167	1	147	139	35	31
168	1	16	15	1	1
169	1	30	29	7	7
170	0	14	14	8	7
171	1	108	98	28	25
172	1	189	181	49	47
173	1	43	40	9	9
174	0	0	0	0	0
175	1	28	25	8	8
176	0	2	2	3	3
177	0	3	3	0	0
178	1	25	24	9	9
179	1	54	49	9	8
180	1	29	26	5	5
181	1	28	27	5	5
182	1	11	11	3	3
183	1	23	22	3	2
184	0	2	2	0	0
185	0	0	0	0	0
186	1	17	15	6	6
187	0	0	0	1	1
188	1	21	16	6	5
189	0	1	1	0	0
190	1	20	17	2	2
191	1	52	47	10	8
192	0	12	12	3	3
193	0	1	1	0	0
194	1	36	32	3	3
195	1	17	15	6	5
196	1	7	6	2	1
197	0	12	11	1	1
198	1	14	13	0	0
199	1	49	48	10	6
200	1	22	20	4	3
201	1	226	216	55	53
202	0	6	4	1	1
203	1	45	45	8	8
204	1	21	21	1	1
205	1	19	16	2	2
206	1	13	12	0	0
207	1	151	146	42	41
208	1	14	13	10	10
209	1	30	30	9	6
210	1	62	61	18	16
211	0	1	1	1	1
212	1	24	24	3	2
213	1	566	533	141	137
214	0	0	0	0	0
215	1	20	19	3	3
216	1	137	132	35	34
217	1	46	44	12	12
218	1	88	86	25	23
219	1	22	21	4	3
220	1	21	21	2	2
221	1	259	242	61	60
222	0	0	0	0	0
223	0	2	2	1	1
224	1	241	227	46	45
225	0	1	1	1	1
226	0	1	1	0	0
227	0	3	3	1	1
228	1	15	14	3	3
229	1	55	55	13	13
230	0	15	15	5	5
231	1	13	12	1	1
232	1	17	14	3	1
233	1	83	78	29	24
234	1	39	37	7	6
235	1	31	28	4	4
236	1	79	75	16	15
237	1	139	135	42	40
238	0	2	2	3	1
239	1	54	48	11	11
240	1	15	15	8	6
241	1	37	36	3	3
242	0	9	8	1	1
243	0	13	11	4	3
244	1	99	95	15	14
245	0	9	9	1	1
246	0	2	2	0	0
247	0	5	5	2	2
248	1	10	10	0	0
249	0	7	5	3	3
250	1	10	10	2	2
251	1	19	15	1	1
252	0	1	1	0	0
253	1	473	437	92	87
254	1	56	52	18	18
255	1	17	17	3	3
256	0	8	8	3	2
257	0	1	1	0	0
258	0	6	6	1	1
259	1	17	16	2	2
260	1	23	21	12	11
261	1	26	25	9	7
262	1	13	10	3	2
263	0	1	1	1	0
264	0	7	7	4	2
265	1	22	20	7	7
266	1	33	30	7	6
267	1	95	90	18	18
268	1	16	16	4	4
269	1	14	14	2	2
270	1	162	155	48	46
271	1	15	15	4	4
272	0	1	1	0	0
273	0	4	4	1	1
274	1	13	12	4	3
275	1	31	28	6	5
276	1	102	97	20	17
277	1	14	14	3	2
278	0	0	0	0	0
279	1	39	37	13	12
280	0	5	4	3	3
281	1	86	78	18	17
282	1	53	53	10	10
283	1	126	119	19	18
284	1	110	104	21	21
285	0	2	2	1	1
286	1	27	23	4	3
287	0	1	1	0	0
288	0	6	5	2	2
289	1	37	36	7	7
290	1	152	148	36	34
291	0	5	5	4	3
292	1	113	112	32	31
293	0	7	7	1	1
294	0	1	1	0	0
295	1	44	43	16	16
296	1	123	110	31	25
297	1	126	120	42	41
298	1	61	60	20	20
299	1	672	639	191	189
300	1	16	16	13	10
301	1	19	17	5	4
302	1	25	24	8	7
303	1	35	33	9	6
304	1	272	257	67	64
305	1	16	16	7	7
306	0	0	0	0	0
307	1	25	25	5	5
308	1	526	500	115	107
309	1	49	47	9	7
310	1	21	20	5	5
311	1	17	16	8	7
312	1	12	12	3	3
313	1	88	84	29	27
314	1	118	107	30	28
315	0	0	0	0	0
316	0	6	5	2	1
317	0	6	6	5	4
318	0	7	6	2	2
319	1	29	27	4	4
320	1	96	92	23	23
321	0	13	13	0	0
322	1	51	48	22	20
323	1	29	27	10	10
324	1	198	186	48	44
325	0	2	2	1	1
326	1	71	66	16	14
327	0	6	5	0	0
328	0	8	6	3	2
329	0	4	3	2	1
330	0	7	7	3	3
331	1	27	27	8	7
332	0	5	5	1	1
333	1	35	34	8	8
334	1	26	24	6	6
335	0	0	0	0	0
336	0	11	8	1	1
337	0	10	9	6	6
338	0	7	7	2	2
339	1	12	12	3	3
340	0	4	4	2	1
341	1	64	61	20	17
342	1	115	105	17	17
343	1	199	182	50	49
344	1	15	15	2	2
345	1	14	12	2	2
346	1	21	21	9	9
347	1	243	235	57	53
348	1	167	164	42	42
349	0	0	0	0	0
350	1	25	22	2	2
351	0	1	1	0	0
352	1	90	82	31	30
353	1	31	31	9	9
354	1	47	47	12	10
355	1	31	29	5	5
356	0	6	6	4	4
357	0	1	1	0	0
358	1	68	65	20	20
359	1	114	111	30	29
360	0	6	4	1	1
361	1	5	5	0	0
362	1	32	31	5	4
363	1	78	75	26	24
364	0	7	6	3	2
365	0	5	5	1	1
366	1	48	44	9	8
367	0	10	10	3	2
368	0	2	2	0	0
369	0	0	0	0	0
370	1	26	25	2	2
371	0	2	2	2	2
372	1	13	11	2	2
373	0	5	5	1	1
374	0	1	1	1	1
375	1	20	19	4	4
376	0	4	4	0	0
377	1	87	83	17	16
378	1	188	184	43	40
379	1	89	85	17	17
380	1	222	212	52	50
381	0	2	2	0	0
382	0	9	9	4	4
383	1	37	36	12	12
384	0	5	5	0	0
385	1	10	10	2	2
386	0	3	3	2	1
387	1	39	38	8	8
388	0	7	5	2	2
389	0	0	0	0	0
390	1	23	23	9	9
391	1	85	84	26	25
392	1	34	33	6	5
393	1	28	26	4	4
394	1	42	39	10	9
395	0	0	0	0	0
396	0	4	4	0	0
397	1	12	12	3	3
398	1	271	262	49	44
399	1	202	196	32	30
400	0	5	5	4	2
401	0	4	4	4	2
402	1	107	102	19	19
403	0	0	0	1	1
404	1	8	7	2	2
405	1	15	15	0	0
406	1	69	64	16	16
407	1	16	16	1	1
408	1	63	58	11	10
409	0	0	0	0	0
410	0	2	1	0	0
411	0	8	8	3	3
412	1	18	14	2	2
413	0	0	0	0	0
414	1	44	43	10	10
415	0	0	0	0	0
416	1	85	83	19	19
417	1	81	80	27	26
418	0	8	8	2	2
419	1	87	83	39	36
420	0	5	5	3	3
421	0	11	10	4	4
422	1	13	13	8	6
423	1	289	269	67	61
424	1	23	22	10	9
425	1	86	82	17	17
426	1	12	11	3	2
427	1	28	25	5	4
428	1	44	44	5	5
429	1	29	27	14	12
430	0	6	6	3	2
431	0	4	3	0	0
432	0	9	9	0	0
433	1	69	65	12	11
434	1	138	132	29	29
435	1	23	20	4	3
436	1	23	22	7	6
437	1	161	159	33	31
438	1	208	200	62	61
439	0	0	0	0	0
440	0	1	1	1	1
441	1	189	178	46	44
442	0	3	1	0	0
443	1	39	35	10	9
444	0	11	9	2	1
445	1	49	47	13	11
446	0	2	2	1	1
447	0	5	5	1	0
448	0	2	2	0	0
449	0	2	2	0	0
450	1	136	132	25	24
451	1	47	43	15	15
452	1	38	34	4	4
453	0	10	8	2	2
454	0	2	2	0	0
455	1	70	65	22	21
456	1	193	183	57	54
457	0	1	1	0	0
458	1	47	44	13	12
459	1	120	118	25	24
460	0	4	3	0	0
461	1	9	8	2	1
462	0	2	2	0	0
463	1	620	598	149	149
464	0	0	0	0	0
465	1	142	135	43	43
466	0	9	9	6	6
467	1	55	51	8	7
468	0	1	1	0	0
469	1	29	28	5	5
470	0	13	11	2	2
471	0	4	4	0	0
472	1	53	49	9	8
473	1	30	29	3	3
474	1	32	31	7	7
475	1	22	20	5	4
476	1	7	6	0	0
477	1	139	134	37	36
478	1	219	208	37	37
479	0	4	4	1	1
480	1	28	27	9	9
481	0	4	4	1	1
482	0	2	1	0	0
483	0	0	0	0	0
484	1	11	11	1	1
485	1	21	14	4	0
486	0	6	4	0	0
487	1	11	10	1	1
488	1	80	79	16	16
489	1	27	27	5	4
490	1	73	72	21	20
491	1	46	46	13	13
492	1	64	62	13	11
493	1	56	52	15	15
494	0	3	3	0	0
495	1	6	6	0	0
496	1	30	30	4	4
497	1	39	36	3	3
498	0	3	3	2	2
499	1	47	45	14	14
500	1	353	337	113	110
501	1	240	232	62	58
502	1	235	221	51	50
503	1	83	82	17	17
504	1	30	27	12	11
505	1	17	15	9	9
506	0	11	9	2	1
507	0	0	0	0	0
508	1	60	56	12	12
509	0	1	1	2	2
510	0	0	0	0	0
511	0	2	1	0	0
512	0	7	7	6	6
513	1	9	8	3	0
514	0	8	7	5	5
515	0	2	2	0	0
516	1	93	85	23	21
517	1	76	67	21	20
518	0	3	3	0	0
519	0	0	0	0	0
520	1	24	24	7	7
521	0	7	6	0	0
522	1	46	42	11	11
523	1	415	395	95	93
524	1	16	15	2	1
525	0	1	1	3	3
526	1	204	192	43	41
527	1	307	293	92	89
528	0	0	0	0	0
529	1	34	34	15	14
530	0	0	0	1	1
531	1	227	214	64	60
532	1	135	123	40	35
533	1	41	39	7	5
534	1	95	91	23	23
535	0	0	0	0	0
536	0	0	0	0	0
537	0	0	0	0	0
538	1	119	116	24	24
539	1	98	94	28	27
540	1	43	41	8	7
541	1	48	46	12	10
542	1	21	19	4	4
543	0	8	7	3	3
544	0	6	5	5	4
545	0	11	8	2	2
546	1	40	39	7	6
547	1	18	18	2	2
548	1	40	37	12	10
549	1	147	135	32	29
550	1	7	7	2	2
551	1	11	11	5	5
552	1	35	33	6	6
553	1	167	161	40	38
554	1	236	229	40	38
555	1	33	33	9	8
556	1	10	10	1	1
557	0	1	1	1	0
558	1	57	57	11	10
559	0	0	0	0	0
560	1	24	23	13	13
561	0	7	7	5	3
562	1	33	32	5	4
563	0	4	4	6	5
564	1	218	200	58	54
565	0	5	5	1	1
566	0	0	0	0	0
567	1	14	14	3	3
568	1	44	42	13	13
569	0	1	1	0	0
570	1	41	41	6	6
571	0	2	2	1	1
572	1	38	35	10	8
573	1	91	86	28	26
574	0	3	3	0	0
575	0	0	0	0	0
576	1	27	26	4	4
577	1	90	86	25	24
578	0	1	1	1	0
579	0	0	0	0	0
580	1	19	17	4	4
581	1	13	12	3	2
582	1	21	21	1	1
583	0	6	6	1	1
584	0	0	0	0	0
585	1	23	22	0	0
586	1	19	18	1	1
587	0	4	4	0	0
588	1	148	138	37	34
589	1	17	14	2	2
590	0	2	2	1	1
591	1	33	33	3	3
592	1	91	87	23	20
593	1	101	97	23	23
594	1	54	52	13	13
595	1	28	28	8	7
596	1	50	47	17	15
597	0	1	1	1	1
598	1	6	5	1	1
599	1	12	12	2	1
600	1	99	97	33	33
601	1	97	92	18	18
602	1	46	43	7	7
603	0	3	2	0	0
604	1	25	23	8	7
605	1	22	21	5	5
606	1	22	19	8	7
607	0	4	4	4	4
608	0	13	12	10	10
609	0	1	1	1	1
610	1	17	17	4	3
611	1	97	93	21	20
612	0	8	7	3	3
613	1	17	17	12	11
614	1	24	19	5	5
615	1	110	108	31	28
616	0	0	0	0	0
617	1	14	11	3	1
618	1	128	104	36	35
619	1	70	69	18	18
620	1	31	26	10	10
621	1	13	13	5	3
622	0	1	1	1	1
623	0	0	0	0	0
624	1	18	18	5	4
625	1	23	22	5	5
626	0	2	2	0	0
627	0	1	1	0	0
628	0	0	0	0	0
629	1	47	44	11	11
630	1	154	153	42	41
631	0	2	2	0	0
632	1	26	25	16	15
633	1	544	523	134	133
634	1	9	9	2	2
635	1	25	25	5	4
636	1	105	96	33	31
637	1	25	23	3	3
638	1	80	78	12	11
639	1	21	21	4	3
640	1	24	24	2	2
641	1	87	82	24	22
642	0	0	0	0	0
643	0	1	1	0	0
644	1	102	99	30	29
645	0	6	4	0	0
646	0	0	0	0	0
647	0	0	0	0	0
648	0	5	5	1	1
649	1	16	16	5	4
650	1	19	18	2	2
651	1	18	18	3	3
652	0	3	3	1	1
653	0	2	2	2	2
654	0	2	2	0	0
655	0	4	4	4	4
656	1	38	36	8	8
657	1	10	10	1	0
658	1	15	14	1	1
659	0	4	4	1	0
660	1	40	40	8	8
661	1	29	24	8	8
662	1	22	21	10	10
663	0	2	2	1	1
664	1	28	27	5	4
665	1	353	338	86	84
666	1	103	96	24	21
667	0	7	6	1	0
668	0	8	6	0	0
669	0	4	4	0	0
670	0	15	15	12	7
671	0	5	5	2	2
672	1	11	11	2	2
673	1	16	16	2	2
674	1	62	60	19	17
675	1	18	16	8	6
676	0	8	8	2	2
677	0	10	8	0	0
678	1	21	18	8	7
679	1	59	58	17	16
680	1	173	164	29	29
681	1	14	14	3	3
682	0	12	8	2	2
683	1	66	62	18	18
684	0	7	6	1	0
685	1	499	474	103	93
686	1	37	35	6	6
687	1	58	57	9	9
688	0	11	9	0	0
689	0	0	0	0	0
690	0	0	0	0	0
691	1	93	90	18	18
692	0	4	4	3	3
693	1	77	74	17	15
694	1	33	30	14	14
695	1	61	55	17	14
696	1	9	9	0	0
697	1	15	14	2	2
698	1	79	76	18	18
699	0	1	1	0	0
700	1	104	102	23	20
701	1	44	43	11	11
702	1	14	14	2	2
703	1	127	124	24	23
704	1	18	17	5	5
705	0	1	1	2	2
706	0	0	0	0	0
707	1	37	35	7	7
708	1	9	9	2	2
709	0	0	0	0	0
710	1	24	22	4	4
711	1	41	37	13	12
712	1	31	30	10	10
713	0	2	2	1	1
714	1	22	17	9	8
715	1	13	13	2	2
716	1	8	7	4	4
717	1	39	33	6	3
718	0	3	3	1	0
719	1	281	268	71	70
720	1	41	38	10	10
721	1	74	70	16	16
722	1	978	838	214	189
723	1	231	224	60	58
724	0	7	7	1	1
725	1	50	49	15	15
726	0	2	1	3	2
727	1	111	106	22	19
728	1	362	347	86	83
729	1	793	747	201	195
730	1	91	84	28	26
731	1	11	11	1	1
732	1	46	44	18	17
733	1	51	48	15	13
734	1	84	81	20	18
735	1	8	8	0	0
736	1	76	74	17	17
737	0	3	3	0	0
738	1	108	105	24	21
739	1	42	41	10	10
740	1	20	20	5	5
741	0	6	6	1	1
742	0	9	9	1	1
743	1	160	152	48	47
744	0	5	5	3	3
745	1	55	55	13	12
746	1	71	67	17	15
747	0	9	8	12	12
748	1	63	57	11	10
749	0	6	6	0	0
750	1	87	83	17	17
751	1	24	24	5	5
752	1	21	21	1	1
753	0	13	12	4	3
754	1	159	148	45	44
755	0	0	0	0	0
756	1	19	19	1	1
757	1	25	24	4	4
758	1	194	188	38	37
759	1	6	5	1	1
760	0	4	3	2	2
761	0	5	5	1	1
762	0	14	12	9	6
763	0	2	2	0	0
764	1	30	30	6	6
765	1	77	74	29	29
766	1	140	135	50	50
767	0	1	1	0	0
768	0	7	7	7	6
769	1	14	13	9	9
770	1	141	126	37	33
771	0	4	4	1	1
772	1	97	93	12	11
773	0	3	3	0	0
774	1	25	22	4	4
775	1	12	11	1	1
776	1	19	19	6	6
777	1	131	107	43	30
778	1	62	58	15	14
779	0	5	5	2	2
780	1	53	51	13	13
781	1	18	17	3	2
782	0	0	0	0	0
783	1	87	86	22	22
784	1	14	14	5	5
785	1	177	167	48	46
786	0	0	0	0	0
787	1	11	10	3	0
788	1	60	59	10	8
789	1	19	18	1	1
790	1	195	186	35	33
791	1	14	14	6	6
792	1	65	64	11	11
793	1	8	8	0	0
794	1	54	53	14	14
795	1	38	36	6	5
796	1	48	42	11	9
797	1	33	28	6	4
798	0	3	3	1	1
799	0	0	0	0	0
800	1	32	29	6	6
801	1	9	7	1	0
802	1	15	12	3	0
803	1	11	11	2	2
804	0	4	3	6	4
805	1	53	51	9	9
806	1	29	29	11	11
807	1	122	116	33	31
808	0	0	0	1	1
809	1	40	39	3	3
810	1	23	22	2	2
811	0	2	2	3	3
812	0	3	2	1	1
813	0	5	5	2	2
814	0	4	4	2	1
815	1	59	53	12	12
816	1	21	20	4	2
817	0	11	11	4	3
818	1	50	45	13	11
819	1	10	10	2	2
820	1	15	13	3	3
821	1	347	328	79	77
822	1	73	71	25	25
823	1	51	50	15	15
824	0	0	0	0	0
825	0	5	4	0	0
826	1	13	13	0	0
827	0	9	9	2	2
828	1	881	842	234	228
829	1	46	44	8	8
830	1	21	20	5	5
831	1	43	37	7	5
832	1	174	167	34	33
833	1	51	48	13	12
834	0	8	8	1	1
835	1	16	15	3	3
836	1	204	200	54	54
837	0	1	1	0	0
838	0	4	4	1	1
839	1	53	51	17	17
840	1	26	24	8	5
841	1	150	142	26	26
842	1	24	24	8	8
843	1	70	63	16	15
844	1	26	25	5	5
845	1	83	79	20	19
846	1	40	39	12	10
847	0	28	18	6	4
848	1	35	35	11	10
849	1	14	14	2	2
850	1	19	18	14	14
851	0	6	6	3	3
852	0	4	4	3	1
853	1	18	18	4	4
854	1	13	13	4	4
855	1	269	262	51	51
856	0	0	0	0	0
857	0	0	0	1	1
858	1	9	9	4	4
859	1	18	17	2	2
860	1	329	310	72	71
861	1	31	29	6	6
862	1	123	120	35	34
863	0	1	1	0	0
864	1	19	16	5	3
865	1	25	24	6	6
866	1	206	199	49	48
867	1	17	16	3	3
868	1	54	51	18	18
869	1	597	544	168	154
870	0	0	0	0	0
871	0	4	4	0	0
872	1	54	54	7	7
873	1	51	33	22	13
874	0	2	1	1	1
875	0	12	12	1	1
876	1	31	29	13	13
877	0	1	1	0	0
878	0	1	1	1	0
879	1	35	33	9	8
880	1	30	30	9	9
881	1	17	17	6	5
882	0	1	1	0	0
883	0	7	7	2	2
884	1	132	125	31	29
885	0	4	4	2	2
886	0	2	2	0	0
887	0	1	1	0	0
888	1	66	65	16	15
889	1	30	29	5	5
890	1	70	69	17	17
891	0	8	8	3	3
892	1	7	7	1	1
893	1	6	6	6	4
894	1	64	61	10	10
895	1	82	79	15	15
896	0	9	7	1	1
897	0	3	3	2	1
898	1	67	64	12	11
899	0	1	1	2	2
900	1	204	190	48	47
901	1	114	108	26	25
902	0	0	0	0	0
903	1	11	11	4	4
904	1	243	233	59	59
905	1	25	24	4	4
906	1	21	21	4	4
907	0	8	6	2	2
908	0	0	0	0	0
909	0	0	0	0	0
910	1	72	65	24	24
911	0	0	0	0	0
912	1	13	12	4	3
913	0	9	8	5	5
914	1	35	34	4	4
915	1	67	61	14	14
916	1	139	130	35	35
917	0	0	0	0	0
918	1	60	58	19	19
919	1	175	167	45	45
920	0	0	0	0	0
921	1	89	68	21	18
922	0	5	4	1	1
923	1	235	227	56	55
924	1	100	97	22	21
925	1	33	33	16	15
926	1	11	10	0	0
927	0	0	0	0	0
928	1	62	56	13	11
929	0	1	1	0	0
930	1	37	34	5	5
931	0	0	0	0	0
932	1	20	20	3	3
933	1	60	53	13	13
934	0	0	0	0	0
935	1	73	70	22	20
936	1	54	48	14	12
937	1	51	48	10	10
938	0	1	1	1	0
939	0	0	0	0	0
940	1	11	11	4	4
941	0	0	0	1	1
942	0	3	3	2	2
943	1	55	49	17	17
944	1	36	34	8	8
945	1	29	29	5	5
946	1	12	12	5	4
947	1	22	20	4	3
948	1	422	396	98	97
949	1	86	81	26	25
950	0	0	0	0	0
951	1	62	61	8	8
952	1	181	172	65	62
953	1	11	11	2	2
954	0	0	0	0	0
955	1	42	40	8	7
956	1	9	7	0	0
957	0	11	9	1	1
958	1	9	9	2	1
959	1	41	39	9	9
960	1	38	38	12	12
961	1	65	62	18	18
962	0	0	0	2	2
963	1	76	75	12	12
964	1	13	12	0	0
965	1	111	106	33	32
966	1	52	52	9	9
967	1	576	556	153	148
968	1	13	13	3	3
969	1	94	91	23	22
970	0	0	0	0	0
971	0	0	0	0	0
972	1	31	31	5	5
973	0	4	4	0	0
974	1	51	49	8	8
975	1	121	116	26	23
976	1	20	18	5	3
977	0	5	3	1	1
978	0	8	7	3	2
979	0	3	3	1	0
980	0	2	2	0	0
981	1	50	47	12	10
982	0	7	6	1	1
983	1	14	13	0	0
984	0	0	0	0	0
985	0	1	1	0	0
986	1	193	187	45	44
987	0	1	1	1	1
988	1	20	19	9	8
989	0	4	4	5	5
990	1	30	27	12	12
991	1	406	387	104	102
992	0	1	1	0	0
993	0	6	6	4	4
994	0	0	0	0	0
995	1	155	147	41	40
996	0	0	0	0	0
997	0	7	6	4	4
998	1	14	13	5	4
999	1	11	11	2	2
1000	0	0	0	0	0
1001	1	40	39	8	8
1002	0	0	0	0	0
1003	0	6	5	1	1
1004	1	15	14	2	2
1005	1	38	37	10	10
1006	0	4	4	0	0
1007	0	6	6	2	2
1008	1	13	12	4	3
1009	1	144	134	31	30
1010	1	44	42	4	4
1011	0	15	12	6	6
1012	1	46	44	9	9
1013	0	2	1	2	0
1014	0	0	0	0	0
1015	0	9	7	3	3
1016	0	2	2	2	2
1017	0	8	8	5	4
1018	1	23	22	6	5
1019	1	13	13	3	3
1020	1	102	93	26	21
1021	1	29	27	2	2
1022	1	117	111	33	29
1023	1	76	75	17	17
1024	1	24	21	11	8
1025	0	1	1	0	0
1026	1	38	34	8	6
1027	0	10	10	4	4
1028	0	6	5	3	1
1029	0	3	3	0	0
1030	0	2	2	2	2
1031	1	123	121	37	36
1032	1	23	22	7	6
1033	1	21	20	3	3
1034	1	26	26	10	8
1035	1	162	157	48	44
1036	1	98	97	31	30
1037	0	11	6	6	4
1038	1	29	29	12	12
1039	1	250	239	48	47
1040	1	25	23	7	7
1041	1	205	194	34	32
1042	0	5	5	1	1
1043	0	3	2	1	1
1044	1	13	11	1	0
1045	0	2	2	0	0
1046	0	3	3	1	1
1047	0	8	7	2	2
1048	1	23	21	8	7
1049	0	10	8	4	4
1050	0	5	5	1	1
1051	1	26	26	12	12
1052	0	1	1	0	0
1053	1	75	70	14	13
1054	1	91	90	18	17
1055	1	344	319	73	68
1056	0	6	6	3	2
1057	1	33	32	7	5
1058	0	0	0	0	0
1059	0	0	0	0	0
1060	1	59	58	18	18
1061	1	21	21	6	6
1062	1	9	9	0	0
1063	1	69	68	13	13
1064	1	8	8	3	2
1065	1	23	23	5	5
1066	1	41	40	9	9
1067	0	0	0	0	0
1068	1	14	14	3	3
1069	0	12	11	9	8
1070	0	0	0	0	0
1071	0	0	0	0	0
1072	1	26	26	4	3
1073	1	10	9	2	2
1074	0	0	0	0	0
1075	1	26	25	7	6
1076	0	1	1	0	0
1077	0	6	5	2	0
1078	1	15	14	10	8
1079	1	37	36	3	3
1080	0	3	3	0	0
1081	1	15	14	2	2
1082	0	8	8	4	4
1083	1	24	22	4	2
1084	0	0	0	0	0
1085	1	12	10	4	4
1086	0	9	8	1	1
1087	0	5	5	3	3
1088	0	1	1	0	0
1089	1	16	16	6	6
1090	0	2	2	0	0
1091	0	7	7	2	1
1092	1	11	11	3	2
1093	1	30	29	5	5
1094	0	0	0	0	0
1095	1	222	213	57	54
1096	0	9	8	6	5
1097	1	59	57	9	9
1098	0	0	0	0	0
1099	1	39	31	17	13
1100	0	3	3	3	3
1101	0	1	1	1	1
1102	1	20	16	4	3
1103	1	19	19	1	1
1104	0	0	0	0	0
1105	1	22	20	7	7
1106	0	9	7	2	2
1107	0	6	4	1	1
1108	1	35	33	8	7
1109	1	35	33	2	2
1110	1	146	143	46	45
1111	1	23	22	9	8
1112	1	32	30	7	6
1113	1	220	205	58	52
1114	0	0	0	0	0
1115	1	20	18	2	2
1116	0	0	0	0	0
1117	0	11	11	6	6
1118	1	23	22	3	3
1119	0	0	0	0	0
1120	1	20	17	8	8
1121	0	5	5	0	0
1122	0	2	2	2	2
1123	1	23	19	6	6
1124	0	3	3	2	2
1125	1	518	499	149	147
1126	0	7	7	2	2
1127	1	53	51	11	10
1128	1	59	56	12	12
1129	0	13	9	5	4
1130	1	21	16	11	11
1131	1	16	15	4	4
1132	1	157	148	52	50
1133	1	286	270	72	68
1134	1	87	85	19	16
1135	0	0	0	0	0
1136	0	5	5	2	2
1137	1	247	189	58	32
