#R	NextCycle	NE(tau)	NEfresh(tau)	NI(tau)	NIfresh(tau)
1380	1	7	7	0	0
1381	1	114	105	36	33
1382	1	87	81	22	21
1383	0	5	5	2	2
1384	1	336	314	73	73
1385	1	132	126	34	34
1386	0	12	12	4	4
1387	1	19	19	6	6
1388	0	3	2	1	1
1389	0	6	6	5	5
1390	1	51	47	12	12
1391	0	8	7	2	2
1392	1	19	17	2	2
1393	1	214	201	58	55
1394	0	0	0	0	0
1395	1	11	11	0	0
1396	1	18	16	5	5
1397	1	42	40	8	8
1398	0	2	2	0	0
1399	0	5	4	0	0
1400	1	19	19	6	5
1401	0	2	2	0	0
1402	1	25	25	4	4
1403	1	75	73	13	13
1404	0	1	1	0	0
1405	1	10	10	2	2
1406	0	0	0	0	0
1407	0	5	5	0	0
1408	1	124	118	38	35
1409	1	29	29	1	1
1410	1	35	32	7	6
1411	1	49	49	16	15
1412	0	2	2	1	1
1413	0	0	0	0	0
1414	0	3	3	2	2
1415	1	24	23	3	3
1416	0	3	3	0	0
1417	1	53	47	6	5
1418	1	74	74	20	19
1419	1	29	24	10	10
1420	0	5	5	2	2
1421	1	46	42	14	9
1422	1	29	28	6	6
1423	1	70	67	12	12
1424	1	9	9	1	0
1425	1	9	7	4	4
1426	0	10	10	3	3
1427	1	15	12	2	2
1428	0	11	11	3	3
1429	0	0	0	0	0
1430	1	8	7	2	1
1431	1	13	13	4	2
1432	1	58	55	15	13
1433	0	1	1	1	1
1434	1	34	34	17	17
1435	1	113	106	34	32
1436	1	57	55	11	11
1437	1	354	336	91	87
1438	0	3	3	0	0
1439	0	6	5	4	3
1440	1	49	45	13	10
1441	1	20	20	4	3
1442	1	10	10	1	1
1443	1	53	49	14	12
1444	0	3	2	2	2
1445	1	18	18	8	5
1446	1	126	121	18	18
1447	1	19	19	9	9
1448	1	13	11	2	2
1449	0	7	6	0	0
1450	0	1	1	1	1
1451	0	2	2	0	0
1452	0	11	11	2	1
1453	1	220	213	45	44
1454	0	9	9	2	2
1455	0	5	5	2	1
1456	1	18	18	11	10
1457	0	3	3	1	0
1458	1	36	36	7	7
1459	0	6	6	1	1
1460	0	0	0	0	0
1461	1	42	41	9	9
1462	0	8	7	1	1
1463	1	353	341	83	81
1464	1	35	32	13	12
1465	0	7	7	0	0
1466	1	19	19	4	4
1467	1	381	362	90	88
1468	1	493	469	116	113
1469	0	0	0	0	0
1470	1	17	12	6	6
1471	0	2	2	0	0
1472	0	6	6	3	2
1473	1	94	89	23	22
1474	0	1	1	0	0
1475	0	2	1	1	1
1476	1	421	394	110	106
1477	0	8	8	1	1
1478	1	16	15	2	2
1479	1	18	18	2	2
1480	0	6	6	5	5
1481	0	4	4	0	0
1482	1	25	25	5	4
1483	0	5	5	1	1
1484	1	121	107	30	27
1485	1	87	86	19	19
1486	0	5	5	1	1
1487	1	199	189	55	51
1488	1	21	17	2	2
1489	0	1	1	0	0
1490	0	3	2	3	3
1491	0	0	0	1	1
1492	1	21	19	3	3
1493	1	23	18	6	5
1494	0	3	3	1	0
1495	1	224	214	49	49
1496	0	6	6	0	0
1497	1	150	148	35	35
1498	0	1	1	0	0
1499	1	28	28	4	4
1500	0	4	3	3	3
1501	0	2	2	3	3
1502	0	1	1	0	0
1503	1	61	59	24	24
1504	1	24	23	3	2
1505	1	11	11	1	1
1506	0	0	0	0	0
1507	0	2	2	0	0
1508	0	1	1	0	0
1509	0	9	9	1	1
1510	0	3	3	0	0
1511	0	0	0	0	0
1512	1	539	517	145	143
1513	0	4	3	3	3
1514	1	28	26	9	9
1515	0	0	0	0	0
1516	0	6	6	1	1
1517	1	44	44	14	14
1518	1	17	17	3	3
1519	0	9	9	3	3
1520	1	20	18	0	0
1521	1	33	32	10	9
1522	0	3	2	1	1
1523	1	190	176	41	39
1524	0	3	3	2	2
1525	1	22	20	3	3
1526	0	2	1	1	1
1527	1	48	47	18	16
1528	1	65	60	21	20
1529	0	8	7	0	0
1530	0	5	3	3	3
1531	1	59	42	18	14
1532	1	24	22	5	5
1533	0	0	0	0	0
1534	1	25	24	4	4
1535	1	26	23	6	5
1536	0	7	7	1	1
1537	1	153	139	37	29
1538	1	34	33	16	15
1539	1	16	15	1	1
1540	0	0	0	0	0
1541	1	16	14	5	4
1542	0	0	0	0	0
1543	0	5	5	3	3
1544	0	0	0	0	0
1545	1	202	192	47	47
1546	1	102	98	32	29
1547	1	34	34	8	8
1548	1	99	96	17	16
1549	0	9	8	2	2
1550	0	1	1	0	0
1551	1	21	19	4	2
1552	0	0	0	0	0
1553	1	42	40	4	4
1554	1	26	25	6	5
1555	0	5	4	2	2
1556	1	44	40	15	13
1557	1	52	47	14	14
1558	1	7	6	3	3
1559	0	0	0	1	1
1560	0	6	6	2	2
1561	0	0	0	1	1
1562	1	85	82	14	14
1563	0	1	1	1	1
1564	1	11	11	4	4
1565	1	592	560	153	151
1566	0	8	8	1	1
1567	1	115	112	26	24
1568	1	15	15	2	2
1569	1	363	345	91	89
1570	0	3	3	0	0
1571	1	67	59	19	14
1572	1	50	48	6	6
1573	1	46	44	3	3
1574	1	11	10	5	4
1575	1	12	12	3	3
1576	1	10	10	1	0
1577	1	83	76	19	19
1578	1	63	57	16	14
1579	1	148	138	30	30
1580	1	35	33	6	6
1581	1	162	154	31	31
1582	1	212	199	51	50
1583	0	0	0	0	0
1584	1	10	9	2	1
1585	1	17	16	5	5
1586	0	1	1	1	1
1587	0	10	9	1	1
1588	0	3	3	1	1
1589	1	44	43	7	6
1590	0	0	0	0	0
1591	1	26	25	3	1
1592	0	8	4	1	1
1593	0	1	1	1	1
1594	1	14	13	2	2
1595	0	5	5	0	0
1596	1	72	69	21	21
1597	1	13	13	1	1
1598	1	48	47	5	5
1599	1	69	66	26	24
1600	1	34	34	6	6
1601	1	34	30	9	9
1602	0	2	2	1	0
1603	0	9	9	2	2
1604	1	85	79	19	17
1605	1	32	24	5	5
1606	0	0	0	0	0
1607	1	56	51	10	10
1608	1	22	22	8	7
1609	1	42	41	12	11
1610	0	0	0	0	0
1611	1	31	29	11	9
1612	1	12	9	2	1
1613	1	17	15	4	4
1614	1	39	37	3	2
1615	1	41	38	8	8
1616	1	57	53	16	12
1617	1	271	226	91	73
1618	1	295	266	58	55
1619	1	406	387	97	94
1620	1	51	41	16	9
1621	0	1	1	2	2
1622	1	81	78	22	21
1623	0	9	9	4	4
1624	0	2	2	1	1
1625	0	0	0	0	0
1626	1	14	12	5	4
1627	1	106	101	38	34
1628	1	51	48	18	18
1629	1	228	204	67	57
1630	0	7	6	2	1
1631	0	5	4	3	2
1632	1	23	21	1	1
1633	1	21	20	4	3
1634	1	41	35	10	6
1635	1	89	79	23	23
1636	0	3	3	0	0
1637	0	6	6	1	1
1638	0	3	3	1	1
1639	0	4	2	1	0
1640	1	40	40	9	9
1641	0	2	2	0	0
1642	1	15	15	6	6
1643	0	1	1	0	0
1644	1	10	8	0	0
1645	0	12	11	6	6
1646	1	18	17	5	5
1647	1	14	13	3	3
1648	1	285	267	53	51
1649	1	23	22	7	7
1650	0	9	9	3	3
1651	0	5	5	1	1
1652	1	40	39	15	14
1653	1	60	52	11	11
1654	0	8	6	0	0
1655	0	2	2	1	1
1656	0	5	5	2	2
1657	1	44	40	13	13
1658	0	2	2	1	0
1659	0	5	4	2	1
1660	1	35	35	6	6
1661	1	44	44	9	7
1662	0	0	0	0	0
1663	1	61	54	18	18
1664	1	39	36	10	10
1665	1	12	12	6	6
1666	1	12	12	6	5
1667	1	32	29	6	6
1668	1	61	59	15	11
1669	0	12	6	2	0
1670	1	36	35	11	11
1671	1	70	66	19	18
1672	0	9	9	5	5
1673	0	6	5	0	0
1674	1	12	12	7	7
1675	0	19	15	5	2
1676	0	1	1	0	0
1677	0	0	0	0	0
1678	1	40	36	12	12
1679	1	85	83	25	23
1680	0	6	4	0	0
1681	1	44	42	10	9
1682	0	1	1	0	0
1683	1	77	72	22	18
1684	1	22	22	7	7
1685	1	116	108	19	16
1686	1	20	20	6	6
1687	1	15	15	4	4
1688	1	20	20	0	0
1689	1	7	7	1	1
1690	1	35	34	8	8
1691	1	45	43	8	8
1692	1	23	15	3	2
1693	0	7	7	4	4
1694	0	2	2	2	2
1695	1	16	16	2	1
1696	0	0	0	0	0
1697	1	50	44	8	8
1698	0	6	5	1	1
1699	1	61	60	15	14
1700	0	2	2	1	0
1701	0	9	8	5	5
1702	1	88	79	21	17
1703	1	33	29	4	4
1704	0	6	5	1	1
1705	0	6	6	2	2
1706	1	204	186	61	57
1707	1	8	8	2	2
1708	1	13	13	2	2
1709	0	3	3	0	0
1710	0	1	0	0	0
1711	1	14	13	6	6
1712	0	0	0	0	0
1713	1	21	21	1	1
1714	0	2	1	1	1
1715	1	204	188	41	38
1716	1	21	21	3	3
1717	0	1	1	0	0
1718	0	1	1	0	0
1719	1	49	43	11	9
1720	1	9	8	2	2
1721	0	0	0	0	0
1722	0	7	7	2	2
1723	0	6	6	2	2
1724	1	90	85	24	22
1725	1	140	132	30	30
1726	0	0	0	0	0
1727	1	40	35	12	11
1728	1	34	33	6	6
1729	0	5	5	1	1
1730	1	13	13	2	2
1731	1	26	25	4	3
1732	1	95	91	25	25
1733	1	61	55	21	18
1734	0	1	1	0	0
1735	0	4	3	2	2
1736	1	77	73	17	15
1737	1	94	92	17	17
1738	0	6	5	0	0
1739	1	78	74	13	12
1740	0	1	1	1	1
1741	0	9	8	6	6
1742	1	14	12	2	2
1743	0	5	5	3	2
1744	0	10	10	2	2
1745	0	0	0	0	0
1746	0	1	1	1	1
1747	1	105	103	30	30
1748	1	12	12	3	3
1749	1	37	36	6	5
1750	0	3	2	2	2
1751	0	0	0	0	0
1752	1	121	114	36	33
1753	0	6	4	1	1
1754	1	39	38	6	6
1755	1	46	45	12	10
1756	0	0	0	0	0
1757	0	0	0	0	0
1758	1	57	49	19	18
1759	1	667	633	147	143
1760	1	13	13	3	3
1761	1	17	17	7	5
1762	0	2	2	1	1
1763	1	200	196	42	41
1764	0	2	2	0	0
1765	1	63	57	12	9
1766	1	88	85	14	14
1767	1	50	48	11	10
1768	1	83	81	16	16
1769	1	9	8	3	2
1770	0	7	7	8	4
1771	1	33	32	5	5
1772	1	28	24	8	7
1773	1	64	63	16	13
1774	0	6	5	3	3
1775	1	34	32	7	6
1776	1	115	109	39	37
1777	0	0	0	0	0
1778	1	36	35	6	5
1779	0	4	4	5	4
1780	1	34	32	1	1
1781	0	2	2	0	0
1782	0	6	6	1	1
1783	0	5	3	0	0
1784	1	84	83	30	28
1785	1	13	12	2	0
1786	1	68	64	13	13
1787	1	8	7	0	0
1788	1	99	95	26	24
1789	1	35	31	10	10
1790	1	18	16	3	2
1791	1	40	37	5	5
1792	0	3	3	1	0
1793	0	5	5	4	2
1794	1	13	13	1	1
1795	1	123	117	22	21
1796	1	308	296	73	70
1797	0	3	3	2	1
1798	1	214	206	35	35
1799	1	15	14	3	2
1800	0	12	11	7	6
1801	0	4	4	4	4
1802	0	0	0	0	0
1803	1	170	158	42	41
1804	1	20	17	4	4
1805	0	9	8	0	0
1806	1	392	364	96	94
1807	0	4	3	2	1
1808	0	5	5	2	1
1809	0	2	2	0	0
1810	1	19	19	4	4
1811	1	21	19	6	6
1812	0	0	0	0	0
1813	0	0	0	0	0
1814	1	63	59	10	10
1815	0	4	4	1	1
1816	0	6	6	2	2
1817	1	58	54	10	10
1818	0	15	12	6	6
1819	1	23	23	1	1
1820	0	2	2	1	1
1821	0	15	14	8	6
1822	0	0	0	0	0
1823	1	602	535	177	157
1824	1	109	101	34	32
1825	1	53	52	9	9
1826	1	49	46	17	17
1827	0	0	0	0	0
1828	1	18	17	7	5
1829	1	20	17	11	10
1830	0	0	0	0	0
1831	1	17	17	5	5
1832	0	8	8	3	3
1833	1	322	309	83	79
1834	1	9	9	1	1
1835	1	44	40	10	8
1836	1	192	183	50	50
1837	1	37	36	11	11
1838	0	6	6	1	1
1839	0	0	0	0	0
1840	1	30	30	3	3
1841	0	7	6	5	5
1842	0	4	4	0	0
1843	1	85	83	13	11
1844	0	2	2	1	1
1845	1	101	99	25	25
1846	1	67	66	13	13
1847	1	24	24	9	9
1848	1	16	13	3	3
1849	0	3	2	0	0
1850	1	8	8	3	3
1851	1	24	22	2	2
1852	0	6	6	1	1
1853	1	30	30	6	6
1854	1	29	28	5	5
1855	0	6	6	1	1
1856	1	27	26	4	2
1857	1	12	11	4	3
1858	0	4	4	2	0
1859	0	3	3	3	3
1860	0	0	0	0	0
1861	1	16	14	4	3
1862	1	11	11	1	1
1863	0	9	9	5	5
1864	0	2	2	0	0
1865	1	22	22	2	2
1866	0	3	2	1	1
1867	0	1	1	0	0
1868	1	93	86	24	24
1869	1	23	22	5	5
1870	1	27	26	7	7
1871	0	1	1	0	0
1872	1	44	43	7	7
1873	1	14	14	5	5
1874	0	1	1	0	0
1875	0	4	4	1	1
1876	0	2	2	1	1
1877	1	14	12	3	2
1878	1	30	30	7	6
1879	1	42	40	6	6
1880	1	122	113	30	27
1881	1	20	20	5	5
1882	1	28	26	9	9
1883	1	8	8	3	3
1884	1	29	27	6	6
1885	0	1	1	0	0
1886	1	32	29	7	6
1887	1	13	12	5	4
1888	1	91	88	13	13
1889	1	60	56	19	16
1890	0	2	2	0	0
1891	1	331	314	75	74
1892	1	53	52	9	9
1893	0	2	2	0	0
1894	0	3	3	1	0
1895	1	22	21	7	6
1896	0	7	7	0	0
1897	1	14	14	3	1
1898	1	86	81	13	13
1899	1	43	41	19	18
1900	1	31	30	3	3
1901	1	83	80	28	27
1902	0	8	8	1	1
1903	1	11	11	2	2
1904	1	9	9	2	2
1905	0	7	6	1	1
1906	0	2	2	0	0
1907	1	51	48	7	6
1908	1	7	6	5	5
1909	0	6	5	0	0
1910	1	11	10	1	1
1911	0	2	2	0	0
1912	1	15	15	3	3
1913	0	2	2	0	0
1914	0	0	0	0	0
1915	0	3	2	1	1
1916	1	29	28	9	8
1917	0	1	1	0	0
1918	1	10	9	5	4
1919	0	10	9	2	2
1920	0	13	12	7	7
1921	1	26	25	6	6
1922	1	96	93	22	22
1923	1	14	14	3	2
1924	0	2	2	1	1
1925	1	42	41	0	0
1926	1	43	36	10	10
1927	1	14	14	2	1
1928	0	0	0	0	0
1929	0	2	2	0	0
1930	0	4	3	1	1
1931	1	167	161	25	25
1932	1	15	15	0	0
1933	1	89	85	25	24
1934	1	72	65	26	24
1935	1	30	27	3	3
1936	1	83	83	16	15
1937	0	0	0	0	0
1938	1	74	71	20	19
1939	0	2	2	1	1
1940	1	47	45	14	14
1941	0	11	11	4	3
1942	1	17	17	2	1
1943	1	19	19	5	5
1944	1	26	24	11	10
1945	1	67	60	18	17
1946	1	110	105	21	19
1947	0	0	0	0	0
1948	1	10	9	0	0
1949	1	34	30	9	9
1950	0	12	10	6	5
1951	1	101	98	14	12
1952	0	5	5	3	3
1953	0	2	2	0	0
1954	1	18	18	4	4
1955	1	9	8	4	3
1956	0	10	10	4	3
1957	1	106	102	25	20
1958	0	7	7	1	1
1959	0	7	7	3	3
1960	1	73	65	22	19
1961	1	76	74	24	23
1962	1	230	221	50	50
1963	1	8	8	0	0
1964	0	10	7	4	1
1965	1	92	83	27	24
1966	0	0	0	1	1
1967	0	1	1	2	2
1968	1	35	33	6	5
1969	1	40	39	18	17
1970	0	2	2	0	0
1971	1	97	92	23	22
1972	1	51	49	12	9
1973	0	6	6	5	5
1974	1	27	25	8	7
1975	0	0	0	0	0
1976	0	9	9	1	1
1977	1	161	154	45	44
1978	1	37	35	8	8
1979	1	59	57	20	20
1980	1	21	21	3	2
1981	0	5	5	1	1
1982	1	31	29	9	7
1983	0	2	2	1	1
1984	1	40	39	10	10
1985	1	17	17	4	4
1986	1	20	18	2	2
1987	1	23	23	2	2
1988	1	10	10	0	0
1989	0	4	4	1	1
1990	1	20	17	4	3
1991	1	59	46	10	8
1992	1	37	36	9	9
1993	1	22	21	5	4
1994	1	55	50	13	11
1995	1	164	154	27	26
1996	1	27	26	7	7
1997	1	25	24	5	5
1998	1	37	35	11	10
1999	1	56	53	18	18
2000	1	472	443	97	93
2001	1	9	9	5	5
