0	0.02	0	0
1	0.0345	0.0156782	0.00404825
2	0.079	0.0393105	0.0144438
3	0.202	0.0928898	0.026521
4	0.2325	0.205171	0.0572602
5	0.28	0.287288	0.0776164
6	0.2615	0.326419	0.089039
7	0.1845	0.328843	0.0964383
8	0.1035	0.280809	0.09239
9	0.013	0.180042	0.0819945
10	0.0015	0.100332	0.0699173
11	0.0025	0.0459951	0.0391781
12	0.0065	0.021913	0.0193341
13	0.0255	0.0200138	0.00891115
14	0.0835	0.0251466	0.00742179
15	0.3565	0.0891739	0.0199189
16	0.4565	0.316875	0.0755548
17	0.4695	0.472903	0.114431
18	0.448	0.5204	0.127507
19	0.3535	0.516319	0.132348
20	0.211	0.462507	0.132315
21	0.002	0.2538	0.126903
22	0	0.0972354	0.114406
23	0	0.0460926	0.0587696
24	0.024	0.0335255	0.0198939
25	0.1745	0.0383209	0.00977827
26	0.3425	0.141404	0.0344801
27	0.383	0.347585	0.0870823
28	0.505	0.452952	0.106406
29	0.505	0.52623	0.124551
30	0.384	0.532087	0.134894
31	0.082	0.424489	0.135389
32	0.001	0.229626	0.132428
33	0	0.124759	0.102373
34	0.0005	0.0514802	0.0488039
35	0.0025	0.0282053	0.0289825
36	0.0065	0.0151909	0.0113351
37	0.0005	0.00640973	0.00194916
38	0.001	0.00644471	0.00145437
39	0.001	0.00644471	0.00197415
40	0.001	0.00644471	0.00197415
41	0	0.00450805	0.00197415
42	0	0.000534769	0.00197415
43	0	0	0.00147686
44	0	0	0.000519775
45	0	0	0.000519775
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
81	0	0	0
82	0	0	0
83	0	0	0
84	0	0	0
85	0	0	0
86	0	0	0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
101	0	0	0
102	0	0	0
103	0	0	0
104	0	0	0
105	0	0	0
106	0	0	0
107	0	0	0
108	0	0	0
109	0	0	0
110	0	0	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0	0	0
115	0	0	0
116	0	0	0
117	0	0	0
118	0	0	0
119	0	0	0
120	0	0	0
121	0	0	0
122	0	0	0
123	0	0	0
124	0	0	0
125	0	0	0
126	0	0	0
127	0	0	0
128	0	0	0
129	0	0	0
130	0	0	0
131	0	0	0
132	0	0	0
133	0	0	0
134	0	0	0
135	0	0	0
136	0	0	0
137	0	0	0
138	0	0	0
139	0	0	0
140	0	0	0
141	0	0	0
142	0	0	0
143	0	0	0
144	0	0	0
145	0	0	0
146	0	0	0
147	0	0	0
148	0	0	0
149	0	0	0
150	0	0	0
