0	0.02	0
1	0.039	0.0197524
2	0.178	0.0579734
3	0.325	0.20865
4	0.3975	0.415093
5	0.281	0.541551
6	0.2495	0.547584
7	0.17	0.525474
8	0.0195	0.40668
9	0	0.236801
10	0	0.113224
11	0	0.0543773
12	0.006	0.0141593
13	0.009	0.0104605
14	0.028	0.0146848
15	0.2045	0.039725
16	0.31	0.223047
17	0.3985	0.41703
18	0.4115	0.541463
19	0.4045	0.585923
20	0.356	0.586356
21	0.036	0.457806
22	0	0.302312
23	0	0.157929
24	0.001	0.0782714
25	0.014	0.0363741
26	0.0185	0.022858
27	0.054	0.0308261
28	0.2435	0.0752884
29	0.3485	0.27826
30	0.3935	0.465592
31	0.325	0.55536
32	0.3325	0.571268
33	0.2235	0.549133
34	0.0135	0.396807
35	0	0.241606
36	0	0.124163
37	0.0015	0.0617873
38	0.04	0.0266343
39	0.1125	0.0488567
40	0.348	0.142396
41	0.299	0.40737
42	0.3315	0.515179
43	0.3585	0.561393
44	0.2425	0.55805
45	0.0735	0.486575
46	0	0.282267
47	0	0.175817
48	0.003	0.0773004
49	0.0205	0.0362665
50	0.043	0.0354332
51	0.187	0.0576105
52	0.4725	0.222717
53	0.3045	0.533082
54	0.2855	0.591884
55	0.2685	0.59517
56	0.201	0.572537
57	0.0215	0.44208
58	0	0.199554
59	0	0.123775
60	0.0095	0.0395724
61	0.1145	0.0270197
62	0.242	0.120599
63	0.289	0.314857
64	0.388	0.445093
65	0.3615	0.537404
66	0.34	0.567384
67	0.1375	0.499458
68	0.003	0.354019
69	0.0005	0.224616
70	0.002	0.112296
71	0.0025	0.0602307
72	0.031	0.0264842
73	0.162	0.0334437
74	0.417	0.186853
75	0.3675	0.488284
76	0.505	0.592862
77	0.497	0.66983
78	0.3955	0.674014
79	0.087	0.562507
80	0	0.333979
81	0	0.214163
82	0.0025	0.0872279
83	0.0055	0.0526355
84	0.0235	0.0270498
85	0.0435	0.0272149
86	0.1555	0.0673103
87	0.1645	0.19106
88	0.218	0.281671
89	0.2915	0.353171
90	0.2425	0.407658
91	0.2005	0.400378
92	0.038	0.314772
93	0.0075	0.240783
94	0.0155	0.152566
95	0.0125	0.0835542
96	0.026	0.0555009
97	0.266	0.0479058
98	0.4285	0.27588
99	0.414	0.546548
100	0.4275	0.63035
